"mainnumber","Price","PromoPrice","Available",
"15310","27100.0000","23035","True",
"10052","34900.0000","29665","False",
"11111","148700.0000","126395","False",
"12170","37600.0000","31960","False",
"13559","218100.0000","185385","False",
"16579","85800.0000","72930","False",
"16680","28000.0000","19900.0000","True",
"10249","155800.0000","132430","False",
"11308","60400.0000","39900.0000","True",
"12367","10900.0000","9265","False",
"13913","215900.0000","183515","False",
"14293","5500.0000","3000.0000","False",
"14916","85100.0000","72335","False",
"16877","212400.0000","180540","False",
"10788","502400.0000","427040","False",
"11847","304500.0000","258825","False",
"12906","124000.0000","105400","False",
"13279","33700.0000","28645","False",
"14181","179000.0000","152150","False",
"14490","15300.0000","13005","False",
"10083","95800.0000","81430","False",
"10985","474200.0000","403070","False",
"12044","44000.0000","37400","False",
"13476","243100.0000","206635","False",
"16711","46100.0000","39185","False",
"10394","665200.0000","565420","False",
"11296","226600.0000","192610","False",
"12355","569700.0000","484245","False",
"13673","18000.0000","15300","False",
"14904","237200.0000","169000.0000","False",
"10591","16400.0000","13940","False",
"11650","102700.0000","87295","False",
"12552","116900.0000","99365","False",
"13140","4100.0000","3485","False",
"13870","107300.0000","91205","False",
"15101","296600.0000","252110","False",
"10674","70800.0000","60180","False",
"11733","74900.0000","44900.0000","False",
"12792","6500.0000","6500.0000","False",
"13223","322100.0000","273785","False",
"13393","243100.0000","206635","False",
"14376","51600.0000","43860","False",
"15341","65900.0000","56015","False",
"11028","19400.0000","16490","False",
"11930","87900.0000","74715","False",
"12989","13600.0000","11560","False",
"13590","18500.0000","15725","False",
"14730","26500.0000","22525","False",
"10280","46100.0000","39185","False",
"11339","201700.0000","171445","False",
"12241","406900.0000","345865","False",
"13787","87900.0000","87900.0000","False",
"14790","27100.0000","16900.0000","False",
"10477","60400.0000","35000.0000","False",
"11536","120300.0000","102255","False",
"12438","194800.0000","165580","False",
"13984","188800.0000","160480","False",
"10261","452900.0000","384965","False",
"11320","601400.0000","511190","False",
"12222","409100.0000","347735","False",
