CIDIPR,ITEMPR,PHQTPR,BARCOD,LARTAR,SELPPR
480,16307,3.000,40306551,DAVIDOFF GOLD SLIMS,750.000
480,16136,.000,40329055,CAMEL KS FILTERS,700.000
480,16122,53.000,40329253,WINSTON KS CLASSIC,600.000
480,16123,62.000,40329574,WINSTON KS BLUE,600.000
480,16124,9.000,40329598,WINSTON KS SILVER,600.000
480,16125,56.000,40331928,WINSTON KS WHITE,600.000
480,52765,.000,40338545,ZOTT MONTE SNACK 29G,320.000
480,17010,.000,40338576,ZOTTIS YOGURT FRUIT 0.0% 115G,230.000
480,17012,1.000,40338637,ZOTTIS DESERT CHOCOLATE 3.8%115G,230.000
480,67365,5.000,40623092,HIPP WASHING FOAM 250ML,2780.000
480,67371,.000,40623900,HIPP SOS NAPPY RASH CREAM 20ML,1120.000
480,67371,.000,40623900,HIPP SOS NAPPY RASH CREAM 20ML,1120.000
480,59837,1.000,40804835,KUHNE SAUCE HOT CHILI 250ML,1150.000
480,59834,7.000,40804873,KUHNE DRESSING YOGHURT 250ML,990.000
480,48423,9.000,40804880,KUHNE DRESSING 1000ISLANDS 250ML,990.000
480,59836,4.000,40804934,KUHNE SAUCE MEXICO 250ML,1150.000
480,59839,.000,40804941,KUHNE SAUCE CURRY 250ML,1150.000
480,5059,689.000,40822938,FANTA ORANGE 500ML,280.000
480,71445,.000,41007563,SMARTIES ICONE 85GR,1190.000
480,16295,24.000,42068495,DAVIDOFF BLACK KS SSL,700.000
480,16297,31.000,42068556,DAVIDOFF WHITE KS SSL,700.000
480,13263,767.000,42069942,ORBIT FRESH MINT GUM 13.6GR,160.000
480,13275,162.000,42101901,ECLIPSE ICE FRESHNESS 13.6GR,180.000
480,13264,1118.000,42113164,ORBIT WHITE SREATMINT GUM 13.6GR,160.000
480,13266,930.000,42113270,ORBIT WATERMELON GUM 13.6GR,160.000
480,13276,440.000,42124016,ECLIPSE ICE CHERRY 13.6 GR,180.000
480,16129,78.000,42138105,WINSTON SS BLUE,600.000
480,16130,14.000,42138112,WINSTON SS SILVER,550.000
480,16137,.000,42138440,CAMEL KS BLUE,700.000
480,16141,19.000,42138648,MONTE CARLO SS INTRIGUE,480.000
480,16142,24.000,42138655,MONTE CARLO SS FANTASY,480.000
480,16143,.000,42138662,MONTE CARLO SS SILK,480.000
480,16131,76.000,42139171,WINSTON SS WHITE,600.000
480,16127,35.000,42139508,WINSTON XS SILVER,600.000
480,16126,8.000,42139515,WINSTON XS BLUE,600.000
480,8227,2.000,42163190,NIVEA SKI N CREAM 75ML,1080.000
480,8226,.000,42164548,NIVEA SKI N CREAM 30ML,700.000
480,8366,.000,42176169,NIVEA DEO STICK DBL EFF 40 ML,1450.000
480,8366,.000,42176169,NIVEA DEO STICK DBL EFF 40 ML,1450.000
480,8368,.000,42179306,NIVEA MEN DEO STICK SILVER PROT40ML,1720.000
480,13268,951.000,42203100,ORBIT STRAWBERRY BNNA GUM 13.6GR,160.000
480,13269,.000,42203179,ORBIT STRAW EXOTIC GUM 13.6GR,160.000
480,13283,261.000,42203223,SKITTLES 2-IN-1,240.000
480,8320,3.000,42213543,NIVEA DEO STICK INV BLC&WHT  40ML,1450.000
480,8320,3.000,42213543,NIVEA DEO STICK INV BLC&WHT  40ML,1450.000
480,8325,24.000,42213635,NIVEA MEN STICK INV BLC&WHT PWR40ML,1720.000
480,8360,1.000,42240334,NIVEA DEO STICK BEAUTY PEARL 40ML,1450.000
